;Parameter__Hoedanigheid__Eenheid;Unnamed: 1;2PFC6yC2a1sf__NVT__ug/l;Cl__NVT__ug/l;FRD-903__NVT__ug/l;L_PFBS__NVT__ug/l;L_PFHpS__NVT__ug/l;L_PFHxS__NVT__ug/l;NKj__N__ug/l;Ntot__N__ug/l;O2__NVT__%;O2__NVT__ug/l;PFBA__NVT__ug/l;PFC5asfzr__NVT__ug/l;PFDA__NVT__ug/l;PFHpA__NVT__ug/l;PFHxA__NVT__ug/l;PFNA__NVT__ug/l;PFOA__NVT__ug/l;PFOS__NVT__ug/l;PFPA__NVT__ug/l;PFUdA__NVT__ug/l;PO4__Pnf__ug/l;Ptot__P__ug/l;T__NVT__oC;pH__NVT__DIMSLS;sverttPFOS__NVT__ug/l
472;36;NL38_75156__NL38_140213;0.0;64100.0;0.0071;0.0022;0.0;0.0005;840.0;4300.0;80.0;7500.0;0.0028;0.0;0.0;0.0017;0.0042;0.0;0.011;0.001;0.0035;0.0;32.4;170.0;18.2;7.5;0.0014
473;36;NL38_75226__NL38_340438;0.0016;71500.0;0.0001;0.0035;0.0;0.002;990.0;1800.0;64.0;5900.0;0.0046;0.0;0.0;0.0028;0.006;0.0006;0.0077;0.0025;0.0044;0.0;149.0;260.0;19.8;7.6;0.0031
474;36;NL40_C-369833__NL40_YOP_1406;0.00136;84900.0;0.00122;0.00764;0.0005;0.00792;880.0;960.0;104.0;9200.0;0.0153;0.00183;0.00133;0.0105;0.0255;0.00118;0.0122;0.00723;0.0209;0.000144;29.0;36.0;21.2;8.4;0.00883
475;36;NL40_C-369855__NL40_YOP_0801;0.0048;80300.0;0.0032;0.014;0.0;0.0017;2100.0;2600.0;175.0;20000.0;0.011;0.0;0.0007;0.005;0.0091;0.0012;0.023;0.014;0.0075;0.0;0.0;130.0;22.3;8.6;0.015
476;36;NL40_C-369860__NL40_BOP_2712;0.0;476000.0;0.0;0.00526;0.00042;0.00647;2100.0;2400.0;52.0;4600.0;0.00749;0.000859;0.000362;0.003;0.00516;0.000699;0.00494;0.0117;0.0067;0.0;105.0;320.0;20.9;7.5;0.00868
477;36;NL40_C-369872__NL40_BO_15;0.0;139000.0;0.0;0.00545;0.0;0.00104;780.0;1800.0;74.0;6500.0;0.00559;0.000216;0.00029;0.00254;0.00597;0.000496;0.00311;0.00198;0.00596;0.0;283.0;310.0;20.8;7.7;0.0016
487;37;NL40_C-369913__NL40_FOP_1710;0.0;76100.0;0.0;0.00823;0.0;0.00104;360.0;1800.0;94.0;8700.0;0.00437;0.000228;0.000227;0.00156;0.00318;0.000351;0.0024;0.00186;0.00396;0.0;58.4;91.0;19.3;7.8;0.0015
496;38;NL40_C-370028__NL40_DWOP0807;0.0;75600.0;0.00213;0.00961;0.0;0.00115;310.0;670.0;58.0;5700.0;0.0135;0.000227;0.000115;0.00302;0.00454;0.000444;0.0298;0.00118;0.00646;0.0;40.3;54.0;16.0;7.7;0.00229
497;38;NL40_C-370029__NL40_DWOP1019;0.0;80200.0;0.0061;0.0062;0.0;0.0011;740.0;1500.0;65.0;6600.0;0.0068;0.0;0.0007;0.0036;0.0056;0.0008;0.043;0.0026;0.0046;0.0;8.09;55.0;15.0;7.7;0.0031
498;38;NL40_C-370120__NL40_YOP_0132;0.0;94700.0;0.0067;0.011;0.0;0.0021;680.0;960.0;49.0;4800.0;0.012;0.0;0.0012;0.013;0.025;0.0013;0.034;0.0062;0.013;0.0;82.0;140.0;16.8;7.3;0.0049
509;40;NL38_75333__NL38_140213;0.0;60100.0;0.0029;0.0031;0.0;0.0;1200.0;3500.0;84.0;8700.0;0.0037;0.0;0.0;0.0015;0.0024;0.0;0.0063;0.0007;0.0024;0.0;75.1;200.0;14.0;7.4;0.0009
512;40;NL38_75728__NL38_140216;0.0028;63700.0;0.002;0.0064;0.0;0.0007;1700.0;4000.0;83.0;8600.0;0.0062;0.0;0.0;0.003;0.011;0.0005;0.0061;0.0012;0.011;0.0;52.4;250.0;14.1;7.5;0.0015
513;40;NL40_C-370279__NL40_FO_03;0.0;322000.0;0.00133;0.00766;0.0;0.0021;1600.0;2000.0;65.0;6900.0;0.0124;0.000537;0.000337;0.00286;0.00477;0.000596;0.00486;0.00271;0.00895;0.0;31.7;130.0;13.0;7.8;0.0029
514;40;NL40_C-370282__NL40_FOP_1710;0.0;144000.0;0.0;0.00755;0.0;0.00108;810.0;2200.0;99.0;10100.0;0.0097;0.000257;0.000276;0.00207;0.00386;0.000457;0.00353;0.00177;0.00613;0.0;70.9;130.0;14.7;7.7;0.00199
